include,family,method_label,operating_point,point_label,db,horizon_B,e_p_eff,x_norm_digit_read,token_perplexity,num_layers,num_rows_used,actual_total_cycle,actual_total_std,dense_mean_total_cycle,dense_max_total_cycle,overlap_mean_cycle,unoverlap_mean_cycle,overlap_max_cycle,unoverlap_max_cycle,zero_block_percentage,zero_block_contribution,partial_window_contribution,actual_over_dense_mean,actual_over_dense_max
1,fixed_sum,fixed_sum_12db,12db,12db,12,,0.9362,0.31206666666666666,35.8778,28,56,25940.659499999998,333.59596009873974,28570.560000000005,34496.0,25940.659499999998,2629.900500000007,25940.659499999998,8555.340500000002,0.052706077922077925,1818.148864,6737.191636000002,0.9079506842007995,0.7519903612012987
1,fixed_sum,fixed_sum_13db,13db,13db,13,,1.0247,0.34156666666666663,29.6602,28,56,26623.92,328.2848401922178,29209.920000000002,34848.0,26623.92,2586.0000000000036,26623.92,8224.080000000002,0.043167178145087234,1504.289824,6719.790176000002,0.9114684326420612,0.7640013774104683
1,fixed_sum,fixed_sum_14db,14db,14db,14,,1.1253,0.3751,25.0375,28,56,27025.819199999998,326.26489005240813,29979.839999999997,35584.0,27025.819199999998,2954.0207999999984,27025.819199999998,8558.180800000002,0.03361774820143885,1196.253952,7361.926848000002,0.9014664254378943,0.7594935701438849
1,fixed_sum,fixed_sum_15db,15db,15db,15,,1.2399,0.4133,23.7985,28,56,27520.26030000001,325.555644780182,30929.600000000002,36576.0,27520.26030000001,3409.339699999993,27520.26030000001,9055.739699999991,0.024046791776027997,879.535456,8176.204243999991,0.8897709734364495,0.7524130659448821
1,fixed_sum,fixed_sum_16db,16db,16db,16,,1.3501,0.45003333333333334,22.9577,28,56,28199.294700000006,322.1952315419488,31732.799999999992,37472.0,28199.294700000006,3533.505299999986,28199.294700000006,9272.705299999994,0.01899830657557643,711.904544,8560.800755999993,0.8886481716079266,0.7525430908411616
1,fixed_sum,fixed_sum_17db,17db,17db,17,,1.4592,0.4864,22.2215,28,56,28605.537500000006,312.6307593888036,32379.52000000001,38176.0,28605.537500000006,3773.9825000000055,28605.537500000006,9570.462499999994,0.015392031014249793,587.6061760000001,8982.856323999995,0.883445384613484,0.7493068288977369
1,fixed_sum,fixed_sum_18db,18db,18db,18,,1.5511,0.5170333333333333,21.4902,28,56,29070.747599999988,308.018385093309,32960.32,38592.0,29070.747599999988,3889.572400000012,29070.747599999988,9521.252400000012,0.01227276533996683,473.63055999999995,9047.621840000013,0.8819922743468507,0.7532842972636813
1,fixed_sum,fixed_sum_19db,19db,19db,19,,1.6538,0.5512666666666667,21.0798,28,56,29655.8475,309.99836520697977,33726.07999999999,38944.0,29655.8475,4070.2324999999873,29655.8475,9288.1525,0.009399087921117502,366.03808000000004,8922.11442,0.8793149841309755,0.76149978173788
1,fixed_sum,fixed_sum_20db,20db,20db,20,,1.7575,0.5858333333333333,20.8571,28,56,30343.7185,310.4521011104612,34568.0,39968.0,30343.7185,4224.281500000001,30343.7185,9624.281500000001,0.006732585268214573,269.08796800000005,9355.193532000001,0.877797920041657,0.7592003227582066
1,fixed_sum,fixed_sum_21db,21db,21db,21,,1.8515,0.6171666666666666,20.6747,28,56,31024.623900000006,312.75529167414584,35273.920000000006,40832.0,31024.623900000006,4249.2961,31024.623900000006,9807.376099999994,0.004878917711598746,199.215968,9608.160131999994,0.8795343386842177,0.7598115179271161
1,fixed_sum,fixed_sum_22db,22db,22db,22,,1.9366,0.6455333333333334,20.2646,28,56,31723.205300000005,314.7414933446336,35871.36,41216.0,31723.205300000005,4148.1546999999955,31723.205300000005,9492.794699999995,0.00343375698757764,141.52572800000002,9351.268971999994,0.8843602612223235,0.7696818056094722
1,fixed_sum,fixed_sum_23db,23db,23db,23,,2.018,0.6726666666666666,20.2781,28,56,32084.714899999995,308.384360880055,36428.48,41952.0,32084.714899999995,4343.765100000008,32084.714899999995,9867.285100000005,0.002257880244088482,94.72259199999999,9772.562508000005,0.8807590901404613,0.7647958357170098
1,fixed_sum,fixed_sum_25db,25db,25db,25,,2.1803,0.7267666666666667,20.0209,28,56,33232.10079999999,303.8877407073705,37890.56000000002,43168.0,33232.10079999999,4658.459200000027,33232.10079999999,9935.899200000007,0.0008554633061527057,36.92864,9898.970560000007,0.8770548864941552,0.7698318383988138
