family,method_key,point_label,target_snr_db,uniform_horizon_B,avg_horizon,e_p_eff,norm_digit_read,ppl_quant,calibration_file,eval_file
uniform,uniform_H6,H=6,,6,6.0,0.6127,0.20423333333333335,113087.4419,uniform_6B,/home/xzj/coding/data/uniform_budget/ppl_6B_time.json
uniform,uniform_H7,H=7,,7,7.0,0.6448,0.21493333333333334,199.44,uniform_7B,/home/xzj/coding/data/uniform_budget/ppl_7B_time.json
uniform,uniform_H8,H=8,,8,8.0,1.0756,0.3585333333333333,27.8309,uniform_8B,/home/xzj/coding/data/uniform_budget/ppl_8B_time.json
uniform,uniform_H9,H=9,,9,9.0,1.6363,0.5454333333333333,20.5837,uniform_9B,/home/xzj/coding/data/uniform_budget/ppl_9B_time.json
uniform,uniform_H10,H=10,,10,10.0,2.1312,0.7104,19.8466,uniform_10B,/home/xzj/coding/data/uniform_budget/ppl_10B_time.json
uniform,uniform_H11,H=11,,11,11.0,2.4815,0.8271666666666667,19.8588,uniform_11B,/home/xzj/coding/data/uniform_budget/ppl_11B_time.json
fixed_sum,fixed_sum_12db,12db,12,,7.63,0.9362,0.31206666666666666,35.8778,/home/xzj/coding/data/calib-data/12db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/12db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_13db,13db,13,,7.83,1.0247,0.34156666666666663,29.6602,/home/xzj/coding/data/calib-data/13db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/13db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_14db,14db,14,,8.01,1.1253,0.3751,25.0375,/home/xzj/coding/data/calib-data/14db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/14db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_15db,15db,15,,8.21,1.2399,0.4133,23.7985,/home/xzj/coding/data/calib-data/15db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/15db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_16db,16db,16,,8.41,1.3501,0.45003333333333334,22.9577,/home/xzj/coding/data/calib-data/16db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/16db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_17db,17db,17,,8.6,1.4592,0.4864,22.2215,/home/xzj/coding/data/calib-data/17db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/17db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_18db,18db,18,,8.78,1.5511,0.5170333333333333,21.4902,/home/xzj/coding/data/calib-data/18db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/18db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_19db,19db,19,,8.96,1.6538,0.5512666666666667,21.0798,/home/xzj/coding/data/calib-data/19db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/19db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_20db,20db,20,,9.13,1.7575,0.5858333333333333,20.8571,/home/xzj/coding/data/calib-data/20db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/20db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_21db,21db,21,,9.31,1.8515,0.6171666666666666,20.6747,/home/xzj/coding/data/calib-data/21db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/21db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_22db,22db,22,,9.48,1.9366,0.6455333333333334,20.2646,/home/xzj/coding/data/calib-data/22db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/22db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_23db,23db,23,,9.66,2.018,0.6726666666666666,20.2781,/home/xzj/coding/data/calib-data/23db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/23db/ppl_results_MXFP8_fix_time.json
fixed_sum,fixed_sum_24db,24db,24,,9.80,2.018,0.7026666666666666,20.2781,/home/xzj/coding/data/calib-data/23db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/23db/ppl_results_MXFP8_fix_time.json

fixed_sum,fixed_sum_25db,25db,25,,10.0,2.1803,0.7267666666666667,20.0209,/home/xzj/coding/data/calib-data/25db/calibration_MXFP8_fixed_sum.json,/home/xzj/coding/data/calib-data/25db/ppl_results_MXFP8_fix_time.json
