run_id,split_id,cal_size_tokens,ppl_quant,ppl_dense_B,ppl_ratio,cal_size_percent,cal_size_frac,subset_seed,target_snr,norm_digit_reads,block_skip_rate,element_skip_rate,partial_window_rate,mean_H,sum_H,calibration_file,eval_file
AtoB_p10_seed0,AtoB,210,27.7255,15.9905,,5.0,0.1,0,15.0,0.152326,0.015904,0.372556,,8.141043526785714,1633940.0,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/calibrations/calibration_MXFP8_fixed_sum_AtoB_p10_seed0.json,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p10_seed0.json

AtoB_p10_seed0,AtoB,440,18.7255,15.9905,1.171039054438573,10.0,0.1,0,15.0,0.152326,0.015904,0.372556,,8.141043526785714,1633940.0,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/calibrations/calibration_MXFP8_fixed_sum_AtoB_p10_seed0.json,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p10_seed0.json
AtoB_p15_seed0,AtoB,918,18.331,15.9905,1.14636815609268,15.0,0.15,0,15.0,0.154014,0.015213,0.366683,,8.181570870535714,1642074.0,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/calibrations/calibration_MXFP8_fixed_sum_AtoB_p15_seed0.json,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p15_seed0.json
AtoB_p20_seed0,AtoB,1223,18.5167,15.9905,1.157981301397705,20.0,0.2,0,15.0,0.151382,0.015198,0.374671,,8.125124561543368,1630745.0,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/calibrations/calibration_MXFP8_fixed_sum_AtoB_p20_seed0.json,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p20_seed0.json
AtoB_p25_seed0,AtoB,1542,18.4798,15.9905,1.155673681248241,25.0,0.25,0,15.0,0.15275,0.015093,0.370395,,8.156389508928571,1637020.0,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/calibrations/calibration_MXFP8_fixed_sum_AtoB_p25_seed0.json,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p25_seed0.json
AtoB_p30_seed0,AtoB,1931,18.6303,15.9905,1.1650855195272192,30.0,0.3,0,15.0,0.152522,0.014887,0.370926,,8.14722676179847,1635181.0,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/calibrations/calibration_MXFP8_fixed_sum_AtoB_p30_seed0.json,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p30_seed0.json
AtoB_p35_seed0,AtoB,2228,18.3885,15.9905,1.1499640411494325,35.0,0.35,0,15.0,0.152088,0.015004,0.372278,,8.13883131377551,1633496.0,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/calibrations/calibration_MXFP8_fixed_sum_AtoB_p35_seed0.json,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p35_seed0.json
AtoB_p40_seed0,AtoB,2455,18.5925,15.9905,1.162721615959476,40.0,0.4,0,15.0,0.15283,0.014903,0.370031,,8.155926139987244,1636927.0,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/calibrations/calibration_MXFP8_fixed_sum_AtoB_p40_seed0.json,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p40_seed0.json
AtoB_p50_seed0,AtoB,3341,18.4033,15.9905,1.150889590694475,50.0,0.5,0,15.0,0.153047,0.014828,0.369237,,8.16080397002551,1637906.0,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/calibrations/calibration_MXFP8_fixed_sum_AtoB_p50_seed0.json,/home/xzj/coding/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p50_seed0.json
