figure_csv	csv_line	label	csv_ppl	source_ppl	ppl_matches	csv_work_column	source_mean_effective_precision	source_executed_digit_ratio	work_matches_rounding_1e_4	source_scored_tokens	snapshot_path
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	2	H=6	113087.4419	113087.4419	True	0.20423333333333335	0.6127	0.20423333333333335	True	5503	evidence/snapshots/data/uniform_budget/ppl_6B_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	3	H=7	199.44	199.44	True	0.21493333333333334	0.6448	0.21493333333333334	True	5503	evidence/snapshots/data/uniform_budget/ppl_7B_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	4	H=8	27.8309	27.8309	True	0.3585333333333333	1.0756	0.3585333333333333	True	5503	evidence/snapshots/data/uniform_budget/ppl_8B_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	5	H=9	20.5837	20.5837	True	0.5454333333333333	1.6363	0.5454333333333333	True	5503	evidence/snapshots/data/uniform_budget/ppl_9B_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	6	H=10	19.8466	19.8466	True	0.7104	2.1312	0.7104	True	5503	evidence/snapshots/data/uniform_budget/ppl_10B_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	7	H=11	19.8588	19.8588	True	0.8271666666666667	2.4815	0.8271666666666667	True	5503	evidence/snapshots/data/uniform_budget/ppl_11B_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	8	12db	35.8778	35.8778	True	0.31206666666666666	0.9362	0.31206666666666666	True	5503	evidence/snapshots/data/calib-data/12db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	9	13db	29.6602	29.6602	True	0.34156666666666663	1.0247	0.34156666666666663	True	5503	evidence/snapshots/data/calib-data/13db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	10	14db	25.0375	25.0375	True	0.3751	1.1253	0.3751	True	5503	evidence/snapshots/data/calib-data/14db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	11	15db	23.7985	23.7985	True	0.4133	1.2399	0.4133	True	5503	evidence/snapshots/data/calib-data/15db/ppl_results_MXFP8_fix_time.json
