source_root	source_path	snapshot_path	category	scope	model	dataset	max_length	stride	limit_samples	text_manifest	token_perplexity	scored_tokens	num_chunks	stats_mode	mean_effective_precision	executed_digit_ratio	use_mxfp8	mxfp8_block_size	use_msd_truncation	sha256
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p100_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p100_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.6162	22336	37		1.2671	0.4223666666666666	True	32	True	dccd665d5ab33a66a008b530547ad4f515a900bff516534cf1f9cb92cb604a86
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p10_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p10_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.7255	22336	37		1.2595	0.41983333333333334	True	32	True	8ff33bdc3f6c2f3a1acc12c4507002576eaba0a1b2c52c2e803a9355269beb26
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p15_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p15_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.331	22336	37		1.2784	0.4261333333333333	True	32	True	84af8630f0bc1bbed8f7d9c26ee7c1aca5d99bac13db0c2309765f05d02bb3e2
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p20_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p20_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.5167	22336	37		1.2499	0.41663333333333336	True	32	True	4afd8986ac9be5385d05bb2ef14e5991e1566f7676ed2816e2ff25dc220f130f
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p25_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p25_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.4798	22336	37		1.2646	0.4215333333333333	True	32	True	238074b54307c6f1e283713365776946dc002ba33bb6b847f72ea2e7c0e495f7
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p30_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p30_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.6303	22336	37		1.262	0.4206666666666667	True	32	True	db3d50c949c8742dba4f147366c8547318c0de9dd659675bd68075a81d6c0fd8
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p35_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p35_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.3885	22336	37		1.2574	0.41913333333333336	True	32	True	f98ee1b13cf21191855ccb199c20277ec3bee3b7e24385e45672540ad5a8b3f4
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p40_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p40_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.5925	22336	37		1.2653	0.4217666666666667	True	32	True	e0f4312be72f6e2317e88bbca3fd2d71136d0cb732b0d96f26b5ca4b3041a215
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p50_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p50_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.4033	22336	37		1.2679	0.42263333333333336	True	32	True	23b6cdeb8240bcfd00688760dc8e3a39226a0270fbeec003f6c7baa2ea8a004a
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p60_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p60_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.7107	22336	37		1.2689	0.42296666666666666	True	32	True	23431c00aebb87724b217cf01c38ea634c902829e2b2cc4bff3a791417303d9f
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p70_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p70_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.6125	22336	37		1.2662	0.42206666666666665	True	32	True	0f1618a8e01ff1562a9cd021b36460e84e136c20f5a194229429c55e373f694c
../6b	atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p80_seed0.json	snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p80_seed0.json	historical_figure6b_source	historical_scope_requires_review	../Qwen3-0.6B	wikitext/wikitext-2-raw-v1/test	4096	512			18.5308	22336	37		1.2599	0.41996666666666665	True	32	True	475a183b5fed90ab8f98e90450dfdf8020a722f91763e8cb4c78e70fa9e3efe7
